"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Screven","420","US-13251","13","251","13900","46","11","3021.58","79.14","366.91","51"
"Seminole","369","US-13253","13","253","8140","24","9","4533.17","110.57","356.27","29"
"Spalding","1354","US-13255","13","255","69110","188","61","1959.2","88.27","108.52","75"
"Stephens","1107","US-13257","13","257","26328","118","38","4204.65","144.33","543.15","143"
"Stewart","523","US-13259","13","259","6129","81","15","8533.2","244.74","962.64","59"
"Sumter","939","US-13261","13","261","29399","202","63","3193.99","214.29","71.43","21"
"Talbot","166","US-13263","13","263","6158","24","6","2695.68","97.43","113.67","7"
"Taliaferro","22","US-13265","13","265","1632","2","0","1348.04","0","122.55","2"
"Tattnall","846","US-13267","13","267","25411","61","11","3329.27","43.29","291.21","74"
"Taylor","216","US-13269","13","269","7958","32","11","2714.25","138.23","175.92","14"
"Telfair","395","US-13271","13","271","15644","40","20","2524.93","127.84","127.84","20"
"Terrell","329","US-13273","13","273","8467","74","32","3885.67","377.94","35.43","3"
"Thomas","1501","US-13275","13","275","44431","168","66","3378.27","148.54","137.29","61"
"Tift","1813","US-13277","13","277","40830","225","57","4440.36","139.6","362.48","148"
"Toombs","1350","US-13279","13","279","26983","105","50","5003.15","185.3","270.54","73"
"Towns","345","US-13281","13","281","12034","39","10","2866.88","83.1","473.66","57"
"Treutlen","263","US-13283","13","283","6829","30","10","3851.22","146.43","263.58","18"
"Troup","2837","US-13285","13","285","70414","312","100","4029.03","142.02","123.55","87"
"Turner","311","US-13287","13","287","8076","49","24","3850.92","297.18","247.65","20"
"Twiggs","200","US-13289","13","289","8086","48","8","2473.41","98.94","234.97","19"
"Union","786","US-13291","13","291","25335","82","20","3102.43","78.94","552.6","140"
"Unknown","2219","US-.",".",".","0","49","6","0","0","0","194"
"Upson","804","US-13293","13","293","26277","83","62","3059.71","235.95","228.34","60"
"Walker","1600","US-13295","13","295","69610","86","38","2298.52","54.59","255.71","178"
"Walton","1850","US-13297","13","297","95814","184","56","1930.82","58.45","116.89","112"
"Ware","1516","US-13299","13","299","35853","181","62","4228.38","172.93","150.62","54"
"Warren","156","US-13301","13","301","5210","25","5","2994.24","95.97","364.68","19"
"Washington","685","US-13303","13","303","20302","52","8","3374.05","39.4","192.1","39"
"Wayne","1148","US-13305","13","305","29974","110","31","3829.99","103.42","193.5","58"
"Webster","43","US-13307","13","307","2550","10","2","1686.27","78.43","39.22","1"
"Wheeler","343","US-13309","13","309","7909","20","11","4336.83","139.08","265.52","21"
"White","888","US-13311","13","311","31758","102","19","2796.15","59.83","437.68","139"
"Whitfield","4672","US-13313","13","313","104672","248","61","4463.47","58.28","259.86","272"
"Wilcox","249","US-13315","13","315","8790","51","22","2832.76","250.28","113.77","10"
"Wilkes","267","US-13317","13","317","10014","29","5","2666.27","49.93","99.86","10"
"Wilkinson","345","US-13319","13","319","8919","63","18","3868.15","201.82","190.6","17"
"Worth","538","US-13321","13","321","20142","91","30","2671.04","148.94","129.08","26"
